customer_id,segment,tenure_days,total_transactions,successful_transactions,failed_transactions,success_rate,lifetime_value,preferred_method,prior_recovery_attempts,prior_recovery_successes,opted_out
C100000,loyal,81,2,1,1,0.5,15407.53,upi,0,0,0
C100001,casual,696,40,35,5,0.875,4014.39,upi,3,2,0
C100002,loyal,589,29,23,6,0.793,17484.02,card,6,5,0
C100003,new,395,30,16,14,0.533,521.94,wallet,9,2,0
C100004,casual,390,14,9,5,0.643,10173.04,upi,1,0,0
C100005,new,772,128,63,65,0.492,2988.49,upi,19,7,0
C100006,casual,78,7,5,2,0.714,10115.49,wallet,1,0,0
C100007,new,627,21,12,9,0.571,2954.17,upi,4,2,1
C100008,new,182,10,6,4,0.6,1731.02,upi,2,0,0
C100009,loyal,85,9,6,3,0.667,24165.43,card,1,0,0
C100010,casual,474,31,23,8,0.742,13212.27,upi,7,5,0
C100011,new,878,79,37,42,0.468,201.57,upi,17,12,0
C100012,high_value,662,36,29,7,0.806,85849.78,netbanking,3,2,0
C100013,new,685,68,38,30,0.559,2842.87,card,26,14,0
C100014,casual,646,46,33,13,0.717,10102.59,card,15,9,0
C100015,casual,707,26,18,8,0.692,14005.47,upi,5,3,0
C100016,casual,462,66,51,15,0.773,2860.41,upi,12,8,0
C100017,casual,116,4,3,1,0.75,11755.65,netbanking,2,1,0
C100018,new,755,125,83,42,0.664,704.43,netbanking,15,10,0
C100019,loyal,405,25,19,6,0.76,27167.71,netbanking,2,1,0
C100020,new,450,21,14,7,0.667,2696.97,upi,6,4,0
C100021,new,334,11,7,4,0.636,1233.77,netbanking,1,0,0
C100022,casual,165,15,10,5,0.667,10387.51,upi,2,1,0
C100023,high_value,834,139,110,29,0.791,360546.62,card,12,10,0
C100024,loyal,703,30,22,8,0.733,53543.7,card,4,3,0
C100025,high_value,579,21,18,3,0.857,53117.54,upi,1,0,0
C100026,loyal,362,19,18,1,0.947,17910.76,upi,1,0,1
C100027,loyal,740,123,105,18,0.854,55931.08,card,16,11,0
C100028,casual,491,28,18,10,0.643,8873.82,netbanking,3,1,0
C100029,high_value,399,28,24,4,0.857,218070.0,upi,2,1,0
C100030,casual,405,25,15,10,0.6,1913.61,upi,5,3,0
C100031,casual,205,34,26,8,0.765,1350.73,card,6,3,0
C100032,loyal,83,6,5,1,0.833,57670.74,upi,1,0,0
C100033,casual,499,17,15,2,0.882,7633.92,upi,0,0,0
C100034,new,799,133,79,54,0.594,2359.25,upi,14,10,1
C100035,casual,58,2,1,1,0.5,4080.02,upi,1,0,0
C100036,casual,772,45,31,14,0.689,4319.01,upi,13,10,0
C100037,loyal,745,39,30,9,0.769,38012.77,wallet,4,2,0
C100038,casual,249,8,5,3,0.625,13264.36,netbanking,1,0,0
C100039,loyal,568,56,42,14,0.75,24429.0,card,8,6,0
C100040,casual,149,5,3,2,0.6,5603.2,upi,1,0,0
C100041,loyal,682,62,51,11,0.823,37531.42,card,6,4,0
C100042,new,630,48,30,18,0.625,120.02,upi,16,9,0
C100043,high_value,319,19,17,2,0.895,182566.75,card,0,0,0
C100044,casual,62,3,2,1,0.667,8787.96,upi,0,0,1
C100045,casual,873,67,41,26,0.612,1067.58,card,17,5,0
C100046,new,401,16,9,7,0.562,1914.01,upi,6,3,0
C100047,casual,803,160,112,48,0.7,1713.45,netbanking,23,14,0
C100048,casual,610,29,22,7,0.759,11079.42,card,1,0,0
C100049,loyal,700,33,26,7,0.788,50083.92,upi,4,3,0
C100050,high_value,684,38,37,1,0.974,343578.17,wallet,0,0,0
C100051,loyal,175,8,7,1,0.875,43669.41,upi,0,0,0
C100052,casual,328,14,10,4,0.714,8861.99,upi,1,0,0
C100053,casual,420,15,11,4,0.733,5305.86,card,2,1,0
C100054,loyal,448,44,39,5,0.886,31230.69,card,1,0,0
C100055,loyal,40,2,1,1,0.5,14352.8,upi,0,0,0
C100056,casual,492,25,18,7,0.72,10899.42,upi,5,3,0
C100057,high_value,139,10,9,1,0.9,58639.53,upi,0,0,0
C100058,casual,669,23,16,7,0.696,6788.12,upi,1,0,0
C100059,loyal,615,36,28,8,0.778,35310.54,upi,6,4,0
C100060,high_value,830,43,35,8,0.814,277531.33,upi,5,4,0
C100061,loyal,670,74,71,3,0.959,27159.94,upi,2,1,0
C100062,new,330,22,10,12,0.455,1328.36,card,8,2,0
C100063,casual,870,43,33,10,0.767,9223.26,card,9,5,0
C100064,new,370,24,13,11,0.542,2769.52,wallet,4,2,0
C100065,loyal,293,12,11,1,0.917,43598.61,upi,1,0,0
C100066,casual,815,101,68,33,0.673,4562.08,upi,27,19,0
C100067,loyal,334,41,32,9,0.78,52363.18,upi,5,4,0
C100068,high_value,69,5,4,1,0.8,69272.57,upi,0,0,0
C100069,new,423,35,18,17,0.514,816.9,card,13,7,0
C100070,casual,716,28,17,11,0.607,2514.12,upi,7,5,0
C100071,loyal,171,6,5,1,0.833,32351.93,card,1,0,0
C100072,casual,417,26,17,9,0.654,9916.98,wallet,3,2,0
C100073,new,117,6,2,4,0.333,1592.99,upi,3,1,1
C100074,new,618,51,27,24,0.529,2433.79,upi,14,7,0
C100075,casual,428,23,18,5,0.783,8944.83,card,4,3,1
C100076,loyal,297,13,8,5,0.615,21633.35,card,3,2,0
C100077,casual,204,8,6,2,0.75,8509.91,upi,0,0,0
C100078,new,508,17,8,9,0.471,2206.47,card,4,1,0
C100079,casual,603,31,22,9,0.71,8041.35,upi,8,6,1
C100080,casual,846,65,43,22,0.662,7187.57,card,17,10,0
C100081,casual,393,65,57,8,0.877,8407.36,card,4,3,0
C100082,loyal,145,6,5,1,0.833,37402.91,upi,0,0,0
C100083,casual,749,29,19,10,0.655,5347.8,upi,6,3,0
C100084,casual,567,31,21,10,0.677,12959.17,card,9,5,0
C100085,high_value,630,22,20,2,0.909,122689.06,card,1,0,0
C100086,casual,88,7,5,2,0.714,1459.65,netbanking,3,2,0
C100087,loyal,281,46,41,5,0.891,47074.61,upi,4,3,0
C100088,new,691,34,18,16,0.529,2526.94,card,8,3,0
C100089,new,749,93,40,53,0.43,1928.21,card,23,14,0
C100090,new,392,56,29,27,0.518,1406.84,card,18,8,0
C100091,loyal,724,32,29,3,0.906,58760.27,upi,1,0,0
C100092,loyal,757,50,40,10,0.8,28538.01,upi,6,4,0
C100093,new,349,17,10,7,0.588,1217.69,card,5,2,0
C100094,new,808,35,19,16,0.543,1773.34,upi,15,7,0
C100095,casual,260,18,12,6,0.667,7025.98,upi,3,1,0
C100096,casual,216,10,8,2,0.8,8774.18,upi,5,4,0
C100097,loyal,614,34,24,10,0.706,58328.19,netbanking,6,3,0
C100098,loyal,573,30,24,6,0.8,21874.93,card,2,1,0
C100099,high_value,126,5,4,1,0.8,101997.02,netbanking,0,0,0
C100100,casual,749,53,45,8,0.849,6929.72,wallet,11,9,0
C100101,loyal,180,10,9,1,0.9,35199.93,card,1,0,0
C100102,casual,724,38,27,11,0.711,10984.75,upi,7,4,0
C100103,casual,7,1,0,1,0.0,14372.42,upi,0,0,0
C100104,high_value,717,71,70,1,0.986,291034.62,card,2,1,0
C100105,new,708,101,65,36,0.644,2961.53,netbanking,28,23,0
C100106,loyal,702,78,69,9,0.885,22316.93,netbanking,6,5,1
C100107,loyal,598,39,36,3,0.923,20444.5,upi,3,2,0
C100108,high_value,424,15,14,1,0.933,157287.16,card,1,0,0
C100109,casual,634,22,16,6,0.727,12019.73,upi,3,1,0
C100110,casual,250,10,6,4,0.6,3611.21,upi,1,0,0
C100111,loyal,702,39,32,7,0.821,19809.5,upi,3,2,0
C100112,loyal,500,50,40,10,0.8,30586.79,upi,4,3,0
C100113,casual,413,31,19,12,0.613,5445.62,upi,9,5,0
C100114,loyal,455,18,13,5,0.722,42323.9,card,2,1,0
C100115,casual,512,18,12,6,0.667,13462.34,upi,4,3,0
C100116,casual,34,1,0,1,0.0,2941.25,netbanking,1,0,0
C100117,loyal,126,9,7,2,0.778,37337.75,upi,1,0,0
C100118,casual,221,13,9,4,0.692,2237.61,upi,1,0,0
C100119,casual,103,6,4,2,0.667,4100.91,upi,2,1,0
C100120,high_value,396,66,60,6,0.909,158185.54,upi,3,2,0
C100121,loyal,601,85,66,19,0.776,38955.15,upi,13,11,0
C100122,high_value,589,98,97,1,0.99,244207.65,upi,0,0,0
C100123,casual,424,18,12,6,0.667,10002.93,card,5,4,0
C100124,high_value,769,76,68,8,0.895,336617.25,upi,7,6,0
C100125,new,509,23,12,11,0.522,561.69,card,6,3,0
C100126,casual,72,5,3,2,0.6,11407.35,upi,2,1,0
C100127,casual,688,28,18,10,0.643,10338.29,upi,8,5,0
C100128,loyal,517,73,59,14,0.808,13985.55,upi,9,6,0
C100129,high_value,571,43,39,4,0.907,170643.36,upi,3,2,0
C100130,loyal,509,50,45,5,0.9,11384.97,card,1,0,0
C100131,loyal,498,33,29,4,0.879,14509.22,upi,5,4,0
C100132,casual,82,4,3,1,0.75,4973.02,card,1,0,0
C100133,casual,503,55,44,11,0.8,4403.63,netbanking,7,6,0
C100134,casual,715,34,29,5,0.853,13602.43,upi,6,5,0
