transaction_id,customer_id,segment,amount,payment_method,failure_reason,failed_at,hour,day_of_week,is_subscription,time_since_failure_hr,customer_total_transactions,customer_successful_transactions,customer_failed_transactions,customer_success_rate,customer_lifetime_value,customer_preferred_method,method_matches_preference,prior_recovery_attempts,prior_recovery_successes,customer_opted_out,recovered
T900000,C103418,casual,489.0,upi,otp_failure,2026-08-20 11:10:59.858652,13,2,0,0.82,4,2,2,0.5,10104.73,upi,1,1,0,0,0
T900001,C103691,casual,200.0,upi,otp_failure,2026-08-19 10:15:18.092631,16,1,0,1.74,80,61,19,0.762,4099.58,upi,1,16,13,0,1
T900002,C107621,casual,499.0,upi,otp_failure,2026-08-17 06:49:17.182429,0,1,0,5.18,24,15,9,0.625,10819.84,netbanking,0,5,2,0,0
T900003,C106332,casual,100.0,netbanking,network_error,2026-08-21 08:32:35.971459,14,5,0,3.46,20,12,8,0.6,1953.66,card,0,4,2,0,0
T900004,C104918,loyal,919.0,card,payment_link_expired,2026-08-17 11:51:45.283523,19,6,0,0.14,63,55,8,0.873,17314.92,card,1,5,4,0,1
T900005,C100387,new,199.0,upi,network_error,2026-08-11 19:00:02.981377,20,6,0,17.0,53,20,33,0.377,1616.0,upi,1,29,15,0,1
T900006,C100992,loyal,1029.0,card,insufficient_funds,2026-08-15 17:18:46.522665,20,2,0,18.69,29,23,6,0.793,33301.99,upi,0,1,0,0,0
T900007,C105089,casual,659.0,netbanking,insufficient_funds,2026-08-17 10:34:32.004086,5,1,0,1.42,79,54,25,0.684,13323.22,upi,0,10,6,0,0
T900008,C107349,high_value,10199.0,upi,bank_timeout,2026-08-21 01:59:17.754628,13,4,0,10.01,79,69,10,0.873,365237.67,card,0,3,2,1,0
T900009,C100370,casual,210.0,upi,insufficient_funds,2026-08-21 10:59:22.743014,5,3,0,1.01,10,7,3,0.7,7536.08,card,0,3,2,0,0
T900010,C107912,high_value,6329.0,upi,otp_failure,2026-08-12 06:17:41.779074,22,2,0,5.71,16,14,2,0.875,186884.47,upi,1,0,0,1,0
T900011,C103646,new,100.0,upi,bank_timeout,2026-08-18 10:49:12.861904,22,1,0,1.18,115,66,49,0.574,1111.96,card,0,23,14,0,1
T900012,C102926,casual,459.0,upi,network_error,2026-08-12 07:59:04.340108,13,0,0,4.02,25,18,7,0.72,5744.64,card,0,3,2,0,1
T900013,C105438,casual,110.0,card,card_declined,2026-08-14 05:40:36.272311,5,0,0,6.32,15,12,3,0.8,4294.96,upi,0,1,0,0,0
T900014,C107907,loyal,1939.0,card,payment_link_expired,2026-08-19 20:05:56.217869,23,3,0,15.9,64,43,21,0.672,29464.32,upi,0,15,7,0,1
T900015,C101594,casual,269.0,upi,network_error,2026-08-20 11:34:59.136582,18,0,0,0.42,126,100,26,0.794,5372.78,card,0,20,15,0,1
T900016,C107693,casual,130.0,card,card_declined,2026-08-17 11:06:21.102613,16,4,0,0.89,54,38,16,0.704,4534.38,netbanking,0,11,7,0,1
T900017,C100965,new,349.0,upi,bank_timeout,2026-08-17 00:10:10.655679,17,4,1,11.83,75,35,40,0.467,2370.06,card,0,20,10,0,0
T900018,C106478,new,140.0,card,card_declined,2026-08-19 08:10:10.026660,18,6,1,3.83,92,52,40,0.565,2194.65,card,1,23,12,0,0
T900019,C105601,new,100.0,upi,network_error,2026-08-14 02:42:47.060144,7,0,0,9.29,149,73,76,0.49,742.18,wallet,0,18,10,0,0
T900020,C103782,casual,780.0,upi,network_error,2026-08-14 04:49:02.929781,17,1,0,7.18,5,3,2,0.6,11671.47,wallet,0,0,0,0,1
T900021,C104320,new,110.0,card,bank_timeout,2026-08-19 08:16:54.344198,0,2,0,3.72,74,40,34,0.541,2383.18,card,1,12,5,0,0
T900022,C107805,loyal,1089.0,card,otp_failure,2026-08-14 07:03:11.676623,1,2,0,4.95,24,20,4,0.833,32737.27,card,1,0,0,0,0
T900023,C106098,new,120.0,card,bank_timeout,2026-08-18 11:30:27.274387,9,4,0,0.49,25,15,10,0.6,2552.1,card,1,10,6,0,1
T900024,C107908,casual,980.0,card,insufficient_funds,2026-08-20 02:09:16.263666,7,2,0,9.85,10,6,4,0.6,12730.56,card,1,7,3,0,0
T900025,C100871,new,100.0,upi,otp_failure,2026-08-15 08:10:19.337609,15,3,0,3.83,10,5,5,0.5,354.74,upi,1,2,1,0,0
T900026,C103046,casual,389.0,upi,otp_failure,2026-08-12 11:20:11.976423,9,6,1,0.66,36,22,14,0.611,9053.65,upi,1,12,9,0,1
T900027,C101959,casual,470.0,upi,insufficient_funds,2026-08-17 05:12:38.383193,5,3,1,6.79,6,3,3,0.5,12320.24,upi,1,0,0,1,0
T900028,C102529,new,219.0,wallet,insufficient_funds,2026-08-17 10:31:10.425104,9,1,0,1.48,57,32,25,0.561,2316.09,upi,0,21,9,0,1
T900029,C107724,new,130.0,netbanking,otp_failure,2026-08-17 08:38:29.466457,15,2,0,3.36,99,53,46,0.535,1411.74,netbanking,1,21,10,0,1
T900030,C104384,new,100.0,card,gateway_error,2026-08-16 07:25:50.987811,17,6,1,4.57,26,12,14,0.462,1483.1,card,1,8,5,0,1
T900031,C106681,loyal,569.0,card,otp_failure,2026-08-18 00:48:34.848644,20,3,0,11.19,30,22,8,0.733,16705.72,card,1,8,4,0,1
T900032,C100062,new,149.0,card,gateway_error,2026-08-15 17:23:52.648816,20,5,0,18.6,22,10,12,0.455,1328.36,card,1,8,2,0,1
T900033,C104085,loyal,1569.0,upi,bank_timeout,2026-08-19 09:57:06.839547,11,0,1,2.05,24,19,5,0.792,22756.91,upi,1,6,4,0,0
T900034,C107640,loyal,4300.0,card,card_declined,2026-08-20 03:54:45.976503,18,1,0,8.09,71,52,19,0.732,51542.79,upi,0,9,6,0,0
T900035,C102631,new,100.0,card,network_error,2026-08-20 06:07:03.160762,19,6,1,5.88,51,19,32,0.373,901.61,card,1,24,9,0,0
T900036,C103836,casual,469.0,upi,network_error,2026-08-15 10:45:23.301709,5,2,1,1.24,9,6,3,0.667,6711.93,card,0,3,2,0,0
T900037,C102319,loyal,940.0,upi,bank_timeout,2026-08-13 04:01:02.816492,16,0,0,7.98,139,124,15,0.892,19674.11,card,0,15,14,0,1
T900038,C105668,high_value,22659.0,upi,insufficient_funds,2026-08-18 04:37:08.219939,13,1,0,7.38,45,39,6,0.867,271323.81,upi,1,1,0,0,1
T900039,C100058,casual,680.0,upi,otp_failure,2026-08-12 06:56:10.022761,22,6,0,5.06,23,16,7,0.696,6788.12,upi,1,1,0,0,1
T900040,C104529,casual,369.0,upi,network_error,2026-08-15 10:05:19.606675,13,6,0,1.91,23,15,8,0.652,6724.54,wallet,0,7,4,0,0
T900041,C100859,casual,390.0,upi,network_error,2026-08-15 11:14:09.513402,17,1,0,0.76,45,27,18,0.6,10506.54,card,0,11,6,0,1
T900042,C103486,casual,400.0,upi,insufficient_funds,2026-08-19 18:48:19.601626,1,3,0,41.19,11,8,3,0.727,10318.29,upi,1,0,0,1,0
T900043,C103925,new,199.0,card,gateway_error,2026-08-12 03:37:13.545749,13,4,0,8.38,19,10,9,0.526,2454.47,upi,0,9,4,0,0
T900044,C103141,loyal,3039.0,card,bank_timeout,2026-08-13 06:48:01.723687,17,6,0,5.2,28,20,8,0.714,58778.95,upi,0,3,1,0,1
T900045,C100381,casual,1019.0,wallet,otp_failure,2026-08-20 11:35:19.828957,17,3,0,0.41,40,32,8,0.8,14710.05,upi,0,5,4,0,1
T900046,C104426,loyal,1320.0,upi,insufficient_funds,2026-08-15 11:38:10.515303,17,6,0,0.36,8,6,2,0.75,30390.72,wallet,0,4,2,0,1
T900047,C101970,casual,929.0,upi,insufficient_funds,2026-08-18 10:24:01.430679,6,3,0,1.6,57,43,14,0.754,7453.05,card,0,14,9,0,0
T900048,C103400,casual,999.0,upi,network_error,2026-08-21 11:05:13.911106,23,1,0,0.91,122,101,21,0.828,8529.02,upi,1,12,11,0,1
T900049,C100698,casual,700.0,upi,gateway_error,2026-08-11 18:07:27.727102,10,3,0,17.88,1,0,1,0.0,10496.98,upi,1,1,0,0,0
T900050,C101257,casual,389.0,upi,otp_failure,2026-08-18 01:31:25.900919,14,4,1,10.48,41,32,9,0.78,6129.01,upi,1,6,5,0,0
T900051,C104900,new,149.0,card,insufficient_funds,2026-08-21 11:42:03.539416,9,4,0,0.3,12,6,6,0.5,179.1,upi,0,3,1,0,0
T900052,C107951,casual,489.0,card,payment_link_expired,2026-08-12 10:29:36.978938,13,4,0,1.51,9,7,2,0.778,13290.89,upi,0,0,0,0,0
T900053,C107839,new,100.0,upi,bank_timeout,2026-08-21 03:09:26.752222,15,3,0,8.84,14,5,9,0.357,588.95,netbanking,0,4,1,0,0
T900054,C100884,loyal,1429.0,card,card_declined,2026-08-18 11:57:02.133347,23,5,0,0.05,45,39,6,0.867,50603.25,card,1,4,3,0,0
T900055,C104612,loyal,2489.0,upi,bank_timeout,2026-08-20 23:17:28.196696,1,4,0,12.71,29,24,5,0.828,21540.54,upi,1,2,1,0,0
T900056,C107241,new,239.0,card,card_declined,2026-08-13 09:14:09.574861,14,3,0,2.76,20,10,10,0.5,1652.49,netbanking,0,3,1,0,0
T900057,C103064,casual,100.0,wallet,otp_failure,2026-08-13 05:48:49.570425,11,0,0,6.19,45,33,12,0.733,1412.97,netbanking,0,5,3,0,0
T900058,C106426,new,219.0,upi,bank_timeout,2026-08-20 10:36:04.716744,10,4,1,1.4,175,80,95,0.457,2786.73,card,0,25,7,0,0
T900059,C101090,casual,710.0,card,network_error,2026-08-19 08:59:45.270089,14,4,0,3.0,30,20,10,0.667,14141.52,upi,0,5,2,0,0
T900060,C107884,casual,219.0,upi,insufficient_funds,2026-08-19 08:16:28.794153,2,0,1,3.73,147,97,50,0.66,4152.08,upi,1,16,9,0,0
T900061,C105116,new,100.0,upi,network_error,2026-08-21 03:37:56.614158,10,0,0,8.37,15,9,6,0.6,1506.36,card,0,5,2,0,0
T900062,C104913,casual,760.0,upi,otp_failure,2026-08-11 21:10:50.657468,9,1,0,14.82,49,27,22,0.551,10634.28,card,0,24,20,0,0
T900063,C104620,high_value,9589.0,upi,bank_timeout,2026-08-16 09:07:15.529270,3,1,0,2.88,26,21,5,0.808,343615.14,card,0,6,4,0,1
T900064,C107233,loyal,1609.0,card,insufficient_funds,2026-08-14 01:13:35.008843,1,1,1,10.77,11,9,2,0.818,34259.76,upi,0,4,3,0,0
T900065,C102386,casual,649.0,upi,network_error,2026-08-17 11:26:05.441054,13,5,0,0.57,171,99,72,0.579,10976.68,wallet,0,20,12,0,0
T900066,C101672,casual,440.0,upi,bank_timeout,2026-08-20 03:18:48.786899,12,2,0,8.69,15,12,3,0.8,5238.39,card,0,3,2,0,0
T900067,C104198,casual,619.0,upi,network_error,2026-08-18 07:02:40.935775,11,5,0,4.96,50,31,19,0.62,11469.28,netbanking,0,13,7,0,1
T900068,C107875,casual,170.0,card,card_declined,2026-08-12 11:18:08.658046,2,6,0,0.7,30,23,7,0.767,3753.81,card,1,4,3,0,0
T900069,C107859,casual,160.0,card,card_declined,2026-08-14 04:12:16.129632,7,4,0,7.8,91,65,26,0.714,5922.12,card,1,13,8,0,0
T900070,C100710,loyal,3440.0,card,card_declined,2026-08-20 09:41:53.429281,13,4,0,2.3,29,25,4,0.862,51616.25,upi,0,3,2,0,0
T900071,C100365,new,100.0,upi,network_error,2026-08-12 06:34:22.548309,4,2,0,5.43,16,9,7,0.562,931.21,card,0,6,3,0,1
T900072,C106454,casual,280.0,upi,network_error,2026-08-15 07:53:28.988659,1,2,0,4.11,18,11,7,0.611,9754.65,netbanking,0,4,3,0,1
T900073,C105114,casual,940.0,netbanking,gateway_error,2026-08-17 07:38:45.502564,3,1,0,4.35,14,7,7,0.5,10338.09,netbanking,1,4,2,0,1
T900074,C104971,casual,479.0,card,insufficient_funds,2026-08-16 10:08:42.056839,5,2,0,1.85,16,11,5,0.688,9802.5,card,1,4,2,0,1
T900075,C105578,new,199.0,upi,bank_timeout,2026-08-15 07:31:16.644746,3,1,0,4.48,27,7,20,0.259,201.09,card,0,10,1,0,0
